--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Vito/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0116, Std=2.6951, Min=-7.7905, Max=7.0760, RMS=2.6951
  Col 1: Mean=0.0063, Std=1.6822, Min=-5.5454, Max=6.5768, RMS=1.6822
  Col 2: Mean=-0.0210, Std=3.1297, Min=-7.4566, Max=11.2766, RMS=3.1297
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0156, Std=0.9217, Min=-1.8899, Max=2.8013, RMS=0.9219
  Col 13: Mean=0.0056, Std=0.8221, Min=-2.7959, Max=2.6941, RMS=0.8221
  Col 14: Mean=-0.0013, Std=2.6015, Min=-5.3471, Max=8.4655, RMS=2.6015
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0023, Std=0.7362, Min=-2.0384, Max=2.3619, RMS=0.7362
  Col 19: Mean=-0.0007, Std=0.7378, Min=-2.3874, Max=1.8839, RMS=0.7378
  Col 20: Mean=-0.0007, Std=2.5431, Min=-5.0250, Max=8.5585, RMS=2.5431
  Col 21: Mean=0.0113, Std=0.9995, Min=-2.4052, Max=4.3352, RMS=0.9995
  Col 22: Mean=0.0039, Std=0.8065, Min=-2.7534, Max=2.5504, RMS=0.8065
  Col 23: Mean=-0.0014, Std=2.4969, Min=-4.6242, Max=10.5446, RMS=2.4969
  Col 24: Mean=0.0161, Std=1.6640, Min=-4.3104, Max=5.2371, RMS=1.6641
  Col 25: Mean=0.0072, Std=0.9440, Min=-3.3501, Max=3.5062, RMS=0.9440
  Col 26: Mean=-0.0045, Std=2.2747, Min=-4.6935, Max=6.0782, RMS=2.2747
  Col 27: Mean=0.0119, Std=3.2184, Min=-7.0632, Max=6.6864, RMS=3.2184
  Col 28: Mean=0.0119, Std=1.4829, Min=-13.3180, Max=10.7471, RMS=1.4829
  Col 29: Mean=-0.0127, Std=2.3112, Min=-6.4159, Max=7.9317, RMS=2.3112
  Col 30: Mean=-0.0028, Std=4.2028, Min=-9.9619, Max=16.4334, RMS=4.2028
  Col 31: Mean=0.0090, Std=1.8482, Min=-10.2364, Max=6.0897, RMS=1.8482
  Col 32: Mean=-0.0200, Std=2.6935, Min=-7.9085, Max=9.0991, RMS=2.6936
  Col 33: Mean=0.0100, Std=1.0330, Min=-3.1276, Max=5.0661, RMS=1.0331
  Col 34: Mean=0.0038, Std=0.8705, Min=-2.9785, Max=2.5789, RMS=0.8706
  Col 35: Mean=0.0011, Std=2.6130, Min=-5.2437, Max=10.5316, RMS=2.6130
  Col 36: Mean=0.0209, Std=1.7559, Min=-5.4980, Max=8.4198, RMS=1.7560
  Col 37: Mean=-0.0046, Std=1.3348, Min=-5.0757, Max=4.5069, RMS=1.3348
  Col 38: Mean=-0.0093, Std=2.2186, Min=-4.5073, Max=7.1492, RMS=2.2187
  Col 39: Mean=0.0188, Std=4.5366, Min=-11.5484, Max=8.2554, RMS=4.5366
  Col 40: Mean=0.0100, Std=1.3393, Min=-3.7575, Max=4.2361, RMS=1.3393
  Col 41: Mean=0.0050, Std=3.2971, Min=-7.0102, Max=8.9379, RMS=3.2971
  Col 42: Mean=-0.0127, Std=6.2444, Min=-16.8285, Max=12.5597, RMS=6.2444
  Col 43: Mean=0.0326, Std=2.7318, Min=-8.1002, Max=9.5956, RMS=2.7320
  Col 44: Mean=-0.0152, Std=5.0879, Min=-11.9585, Max=14.3313, RMS=5.0879
  Col 45: Mean=0.0134, Std=5.9375, Min=-17.6006, Max=23.1529, RMS=5.9375
  Col 46: Mean=-0.0253, Std=3.6535, Min=-14.6049, Max=19.1230, RMS=3.6536
  Col 47: Mean=-0.0427, Std=7.1445, Min=-32.8733, Max=46.2704, RMS=7.1446
  Col 48: Mean=-0.0691, Std=6.7157, Min=-27.1130, Max=20.0645, RMS=6.7160
  Col 49: Mean=-0.0314, Std=3.1020, Min=-13.2880, Max=15.8332, RMS=3.1021
  Col 50: Mean=-0.1594, Std=3.9923, Min=-10.7489, Max=23.3346, RMS=3.9955
  Col 51: Mean=-0.1125, Std=12.2143, Min=-41.3081, Max=39.0210, RMS=12.2148
